,station_id,Year,Month,Day,max_temp,min_temp,rainfall,date
0,71075,2010,5,26,3.0,2.1,34.6,2010-05-26
1,71075,2010,5,27,8.5,-1.7,2.2,2010-05-27
2,71075,2010,5,28,7.1,-0.3,0.2,2010-05-28
3,71075,2010,5,29,6.0,2.5,8.4,2010-05-29
4,71075,2010,5,30,4.7,-0.2,52.2,2010-05-30
5,71075,2010,5,31,3.5,1.2,90.4,2010-05-31
6,71075,2010,6,1,7.6,-4.7,0.8,2010-06-01
7,71075,2010,6,2,6.8,-4.2,0.0,2010-06-02
8,71075,2010,6,3,8.8,-3.8,0.0,2010-06-03
9,71075,2010,6,4,9.8,-2.4,0.0,2010-06-04
10,71075,2010,6,5,8.5,-4.7,0.0,2010-06-05
11,71075,2010,6,6,2.5,-2.2,0.2,2010-06-06
12,71075,2010,6,7,4.9,-7.6,1.4,2010-06-07
13,71075,2010,6,8,-0.1,-2.6,0.0,2010-06-08
14,71075,2010,6,9,-2.3,-3.8,0.0,2010-06-09
15,71075,2010,6,10,2.2,-4.6,12.4,2010-06-10
16,71075,2010,6,11,2.0,-2.9,0.0,2010-06-11
17,71075,2010,6,12,3.5,-6.0,0.2,2010-06-12
18,71075,2010,6,13,8.3,-10.3,0.0,2010-06-13
19,71075,2010,6,14,7.1,-10.8,0.0,2010-06-14
20,71075,2010,6,15,2.4,-6.0,0.0,2010-06-15
21,71075,2010,6,16,4.6,0.7,0.0,2010-06-16
22,71075,2010,6,17,2.0,0.9,58.0,2010-06-17
23,71075,2010,6,18,1.1,-3.0,37.6,2010-06-18
24,71075,2010,6,19,2.3,-2.6,9.6,2010-06-19
25,71075,2010,6,20,3.0,-0.4,0.8,2010-06-20
26,71075,2010,6,21,4.4,-3.9,0.0,2010-06-21
27,71075,2010,6,22,4.4,-7.0,0.0,2010-06-22
28,71075,2010,6,23,4.9,-2.4,0.0,2010-06-23
29,71075,2010,6,24,5.3,-0.7,0.0,2010-06-24
30,71075,2010,6,25,4.2,-0.4,0.2,2010-06-25
31,71075,2010,6,26,3.6,-0.4,35.6,2010-06-26
32,71075,2010,6,27,0.9,-8.6,0.8,2010-06-27
33,71075,2010,6,28,1.8,-11.1,0.0,2010-06-28
34,71075,2010,6,29,4.8,-7.3,0.0,2010-06-29
35,71075,2010,6,30,-2.1,-6.4,0.0,2010-06-30
36,71075,2010,7,1,-0.1,-4.5,1.6,2010-07-01
37,71075,2010,7,2,0.0,-9.1,0.0,2010-07-02
38,71075,2010,7,3,2.2,-6.4,0.0,2010-07-03
39,71075,2010,7,4,5.3,-7.5,0.0,2010-07-04
40,71075,2010,7,5,4.2,-7.2,0.0,2010-07-05
41,71075,2010,7,6,4.6,-5.7,1.4,2010-07-06
42,71075,2010,7,7,4.8,-7.7,0.0,2010-07-07
43,71075,2010,7,8,5.3,-9.2,0.0,2010-07-08
44,71075,2010,7,9,7.0,-7.3,0.0,2010-07-09
45,71075,2010,7,10,4.4,-4.0,0.0,2010-07-10
46,71075,2010,7,11,2.5,2.3,37.8,2010-07-11
47,71075,2010,7,12,7.4,-6.1,2.4,2010-07-12
48,71075,2010,7,13,6.5,-4.8,0.0,2010-07-13
49,71075,2010,7,14,-0.9,-2.0,81.0,2010-07-14
50,71075,2010,7,15,0.0,-3.9,29.6,2010-07-15
51,71075,2010,7,16,4.8,-5.7,0.8,2010-07-16
52,71075,2010,7,17,3.5,-8.5,1.6,2010-07-17
53,71075,2010,7,18,-1.1,-4.7,0.0,2010-07-18
54,71075,2010,7,19,1.5,-2.9,0.2,2010-07-19
55,71075,2010,7,20,5.4,-11.4,1.2,2010-07-20
56,71075,2010,7,21,3.8,-11.0,0.0,2010-07-21
57,71075,2010,7,22,3.4,-6.1,0.0,2010-07-22
58,71075,2010,7,23,6.9,-2.4,0.8,2010-07-23
59,71075,2010,7,24,4.2,-4.3,0.0,2010-07-24
60,71075,2010,7,25,5.0,-5.5,0.0,2010-07-25
61,71075,2010,7,26,5.2,-6.6,0.2,2010-07-26
62,71075,2010,7,27,7.1,-8.0,0.0,2010-07-27
63,71075,2010,7,28,6.4,-6.6,0.0,2010-07-28
64,71075,2010,7,29,4.1,-1.7,1.0,2010-07-29
65,71075,2010,7,30,4.4,0.5,4.0,2010-07-30
66,71075,2010,7,31,1.6,1.2,3.0,2010-07-31
67,71075,2010,8,1,-0.3,-1.6,26.2,2010-08-01
68,71075,2010,8,2,0.4,-4.5,43.4,2010-08-02
69,71075,2010,8,3,3.6,-2.3,21.6,2010-08-03
70,71075,2010,8,4,2.0,-4.9,0.0,2010-08-04
71,71075,2010,8,5,-0.3,-4.6,0.4,2010-08-05
72,71075,2010,8,6,0.6,-4.9,0.4,2010-08-06
73,71075,2010,8,7,2.0,-10.2,0.0,2010-08-07
74,71075,2010,8,8,5.3,-9.5,0.0,2010-08-08
75,71075,2010,8,9,6.2,-7.3,0.0,2010-08-09
76,71075,2010,8,10,5.0,-5.7,3.0,2010-08-10
77,71075,2010,8,11,0.0,-2.0,26.0,2010-08-11
78,71075,2010,8,12,1.3,-3.4,7.4,2010-08-12
79,71075,2010,8,13,7.8,-3.1,1.2,2010-08-13
80,71075,2010,8,14,5.3,-2.2,0.0,2010-08-14
81,71075,2010,8,15,1.6,-0.5,13.6,2010-08-15
82,71075,2010,8,16,0.5,-3.2,15.0,2010-08-16
83,71075,2010,8,17,6.3,-5.4,13.6,2010-08-17
84,71075,2010,8,18,2.3,-6.1,0.0,2010-08-18
85,71075,2010,8,19,1.7,-0.7,64.0,2010-08-19
